156.02539|-57.76603|1679a-15-691  |156.02539|-57.76603| 0.84| 2.04|19.79| 0.05|18.95| 0.01|16.91| 0.01|16.51| 0.02|16.91| 0.01|15.75| 0.01
156.02541|-57.76603|1679b-12-2285 |156.02541|-57.76603| 0.91| 2.09|19.90| 0.07|18.98| 0.01|16.89| 0.01|     |     |16.92| 0.01|15.68| 0.01
156.03621|-57.76735|1679a-15-648  |156.03621|-57.76735| 0.58| 1.74|19.55| 0.04|18.97| 0.01|17.23| 0.01|16.91| 0.03|17.23| 0.01|16.19| 0.01
156.03623|-57.76735|1679b-12-2245 |156.03623|-57.76735| 0.49| 1.82|19.48| 0.04|18.98| 0.01|17.17| 0.01|     |     |17.22| 0.01|16.13| 0.01
156.03830|-57.78457|1679a-15-188  |156.03830|-57.78457| 0.92| 1.85|20.23| 0.09|19.31| 0.02|17.46| 0.01|17.04| 0.03|17.47| 0.01|16.35| 0.01
156.03831|-57.78458|1679b-12-1865 |156.03831|-57.78458| 0.72| 1.91|20.08| 0.07|19.36| 0.02|17.45| 0.01|     |     |17.48| 0.01|16.29| 0.01
156.04202|-57.79054|1679a-15-39   |156.04202|-57.79054| 0.58| 1.76|19.01| 0.04|18.43| 0.01|16.67| 0.01|16.29| 0.02|16.67| 0.01|15.64| 0.01
156.04202|-57.79055|1679b-12-1730 |156.04202|-57.79055| 0.62| 1.76|19.04| 0.03|18.42| 0.01|16.66| 0.01|     |     |16.70| 0.01|15.61| 0.01
156.07002|-57.78928|1679a-15-65   |156.07002|-57.78928| 0.72| 1.91|19.56| 0.04|18.84| 0.01|16.93| 0.01|     |     |16.89| 0.01|15.79| 0.01
156.07001|-57.78929|1679b-25-1805 |156.07001|-57.78929| 0.66| 1.91|19.46| 0.05|18.80| 0.01|16.90| 0.01|     |     |16.92| 0.01|15.77| 0.01
156.07121|-57.78874|1679a-15-80   |156.07121|-57.78874| 0.80| 1.78|19.74| 0.05|18.94| 0.01|17.16| 0.01|16.86| 0.03|17.15| 0.01|16.13| 0.01
156.07121|-57.78874|1679b-25-1815 |156.07121|-57.78874| 0.87| 1.78|19.80| 0.05|18.93| 0.01|17.15| 0.01|     |     |17.17| 0.01|16.13| 0.01
155.97137|-57.78832|1679a-15-84   |155.97137|-57.78832| 1.01| 2.25|21.45| 0.22|20.43| 0.04|18.19| 0.01|17.69| 0.03|18.15| 0.01|16.83| 0.01
155.97137|-57.78833|1679b-12-1787 |155.97137|-57.78833| 0.95| 2.37|21.46| 0.18|20.50| 0.04|18.13| 0.01|17.74| 0.02|18.19| 0.01|16.83| 0.01
155.97330|-57.77976|1679b-12-1981 |155.97330|-57.77976| 0.80| 1.91|21.47| 0.20|20.67| 0.04|18.76| 0.03|18.39| 0.04|18.80| 0.03|17.80| 0.03
155.98973|-57.77007|1679a-15-578  |155.98973|-57.77007| 1.00| 2.39|21.58| 0.21|20.58| 0.04|18.19| 0.01|17.77| 0.03|18.15| 0.02|16.85| 0.01
