#RA2000 DEC2000
156.07425 -57.79237
156.07471 -57.78471
156.07449 -57.79479
156.07447 -57.79480
156.07516 -57.79064
156.07516 -57.79065
156.07585 -57.78256
156.07585 -57.78257
156.07625 -57.78197
156.07625 -57.78199
156.07609 -57.78678
156.07634 -57.79900
156.07670 -57.79492
156.07661 -57.80830
156.07704 -57.78178
156.07726 -57.79346
156.07718 -57.79915
156.07731 -57.78900
156.07730 -57.78901
156.07744 -57.80153
156.07797 -57.78081
156.07832 -57.79454
156.07850 -57.80538
156.07890 -57.78149
156.07890 -57.78150
156.07912 -57.79768
156.07899 -57.81086
156.08002 -57.78724
156.08001 -57.78724
156.07995 -57.79127
156.07994 -57.79128
156.08045 -57.78615
156.08034 -57.79600
156.08090 -57.78875
156.08073 -57.79686
156.08208 -57.80205
156.08196 -57.80996
156.08261 -57.78395
156.08256 -57.81043
156.08279 -57.79815
156.08322 -57.78633
156.08321 -57.78635
156.08316 -57.80268
156.08434 -57.78491
156.08508 -57.79189
156.08555 -57.78505
156.08556 -57.78505
156.08567 -57.78557
156.08584 -57.80665
156.08578 -57.81397
156.08642 -57.78561
156.08604 -57.78898
156.08605 -57.78899
156.08831 -57.81475
156.08868 -57.79098
156.08867 -57.79098
156.08901 -57.79922
156.09007 -57.78827
156.09008 -57.78827
156.08990 -57.79327
156.08989 -57.79327
156.09074 -57.79776
156.09070 -57.81140
156.09124 -57.79490
156.09165 -57.81363
156.09180 -57.81810
156.09179 -57.81810
156.09243 -57.81282
156.09325 -57.80528
156.09318 -57.80851
156.09394 -57.81394
156.09380 -57.81915
156.09379 -57.81915
156.09363 -57.81964
156.09361 -57.81963
156.09421 -57.79596
156.09431 -57.80609
156.09491 -57.79139
156.09491 -57.79140
156.09540 -57.80524
156.09578 -57.79259
156.09579 -57.79312
156.09578 -57.79312
156.09580 -57.80468
156.09644 -57.79788
156.09614 -57.80579
156.09615 -57.81624
156.09614 -57.81624
156.09706 -57.81897
156.09705 -57.81897
156.09756 -57.81447
156.09755 -57.81447
156.09808 -57.79454
156.09806 -57.79455
156.09800 -57.80115
156.09811 -57.80839
156.09807 -57.80923
156.09876 -57.80175
156.09907 -57.79165
156.09907 -57.79166
156.09908 -57.79326
156.09907 -57.79327
156.09972 -57.79867
156.09943 -57.80491
156.10047 -57.80805
156.10055 -57.81707
156.10051 -57.81706
156.10062 -57.82390
156.10061 -57.82390
156.10131 -57.81662
156.10144 -57.81925
156.10142 -57.81927
156.10111 -57.82216
156.10110 -57.82216
156.10146 -57.79685
156.10160 -57.79887
156.10208 -57.80133
156.10205 -57.81301
156.10271 -57.79450
156.10240 -57.81162
156.10234 -57.82056
156.10232 -57.82057
156.10293 -57.79592
156.10292 -57.79594
156.10294 -57.80919
156.10317 -57.81136
156.10432 -57.80113
156.10434 -57.81033
156.10476 -57.80235
156.10497 -57.81767
156.10495 -57.81766
156.10513 -57.82304
156.10501 -57.82472
156.10545 -57.79518
156.10545 -57.79520
156.10538 -57.81129
156.10640 -57.80051
156.10641 -57.80355
156.10674 -57.80391
156.10654 -57.80657
156.10785 -57.82261
156.10786 -57.82263
156.10899 -57.81895
156.10898 -57.81896
156.10912 -57.82160
156.10947 -57.79657
156.11000 -57.81162
156.11040 -57.79688
156.11049 -57.79908
156.11037 -57.82036
156.11036 -57.82036
156.11071 -57.81220
156.11140 -57.81125
156.11299 -57.80836
156.11288 -57.81022
156.11415 -57.81353
156.11569 -57.80893
156.11592 -57.81054
156.11628 -57.80611
156.11708 -57.80429
156.11909 -57.80503
156.11956 -57.80896
156.12079 -57.80267
156.12096 -57.80825
156.12132 -57.80442
156.12241 -57.80559
156.12768 -57.80083
156.12905 -57.79932
156.12953 -57.80136
156.13096 -57.80399
156.13120 -57.80286
156.13394 -57.79403
156.13380 -57.80340
156.13476 -57.80858
156.13524 -57.79994
156.13645 -57.80616
156.13656 -57.79125
